Time (ms),Name,Value
3581291,"elevator height","14.0"
3581292,"error","972.5"
3581292,"is terminated","true"
3581292,"mode","periodic"
3581292,"PID output","-0.09724999964237213"
3601316,"mode","init"
3601733,"error","954.0"
3601733,"elevator height","4.0"
3601733,"mode","periodic"
3609144,"error","955.0"
3609145,"elevator height","5.0"
3609245,"error","961.0"
3609245,"elevator height","11.0"
3609346,"error","968.0"
3609346,"elevator height","18.0"
3609448,"error","978.0"
3609448,"elevator height","28.0"
3609547,"error","987.0"
3609547,"elevator height","37.0"
3609647,"error","995.0"
3609647,"elevator height","45.0"
3609746,"error","1001.0"
3609746,"elevator height","51.0"
3609846,"error","1007.0"
3609846,"elevator height","57.0"
3609948,"error","1012.0"
3609948,"elevator height","62.0"
3610049,"error","1013.0"
3610049,"elevator height","63.0"
3620060,"error","1011.0"
3620060,"elevator height","61.0"
3620262,"error","1010.0"
3620263,"elevator height","60.0"
3620362,"error","1008.0"
3620363,"elevator height","58.0"
3620463,"error","1005.0"
3620463,"elevator height","55.0"
3620563,"error","1001.0"
3620563,"elevator height","51.0"
3620663,"error","1000.0"
3620663,"elevator height","50.0"
3621966,"error","998.0"
3621966,"elevator height","48.0"
3622066,"error","986.0"
3622066,"elevator height","36.0"
3622167,"error","963.0"
3622167,"elevator height","13.0"
3622266,"error","942.0"
3622266,"elevator height","-8.0"
3622366,"error","918.0"
3622366,"elevator height","-32.0"
3622467,"error","891.0"
3622467,"elevator height","-59.0"
3622568,"error","863.0"
3622568,"elevator height","-87.0"
3622668,"error","835.0"
3622668,"elevator height","-115.0"
3622768,"error","802.0"
3622769,"elevator height","-148.0"
3622868,"error","766.0"
3622868,"elevator height","-184.0"
3622968,"error","733.0"
3622968,"elevator height","-217.0"
3623069,"error","691.0"
3623069,"elevator height","-259.0"
3623169,"error","663.0"
3623169,"elevator height","-287.0"
3623270,"error","626.0"
3623270,"elevator height","-324.0"
3623371,"error","596.0"
3623372,"elevator height","-354.0"
3623470,"error","566.0"
3623470,"elevator height","-384.0"
3623570,"error","532.0"
3623571,"elevator height","-418.0"
3623671,"error","503.0"
3623671,"elevator height","-447.0"
3623771,"error","490.0"
3623771,"elevator height","-460.0"
3623873,"error","490.0"
3623873,"elevator height","-460.0"
3624573,"error","491.0"
3624573,"elevator height","-459.0"
3673873,"elevator height","-459.0"
3673873,"error","491.0"
3673873,"is terminated","true"
3673873,"mode","periodic"
3673874,"PID output","-0.09724999964237213"
3678976,"mode","init"
3679989,"error","961.0"
3679989,"elevator height","11.0"
3679989,"mode","periodic"
3685695,"error","962.0"
3685695,"elevator height","12.0"
3685895,"error","963.0"
3685896,"elevator height","13.0"
3685995,"error","971.0"
3685996,"elevator height","21.0"
3686096,"error","982.0"
3686096,"elevator height","32.0"
3686196,"error","994.0"
3686196,"elevator height","44.0"
3686296,"error","1005.0"
3686296,"elevator height","56.0"
3686397,"error","1017.0"
3686397,"elevator height","67.0"
3686497,"error","1030.0"
3686498,"elevator height","80.0"
3686597,"error","1043.0"
3686597,"elevator height","93.0"
3686697,"error","1055.0"
3686697,"elevator height","105.0"
3686797,"error","1067.0"
3686797,"elevator height","117.0"
3686897,"error","1081.0"
3686897,"elevator height","131.0"
3686997,"error","1092.0"
3686997,"elevator height","142.0"
3687097,"error","1103.0"
3687097,"elevator height","153.0"
3687197,"error","1116.0"
3687197,"elevator height","166.0"
3687297,"error","1128.0"
3687297,"elevator height","178.0"
3687400,"error","1141.0"
3687400,"elevator height","191.0"
3687500,"error","1154.0"
3687500,"elevator height","204.0"
3687600,"error","1155.0"
3687600,"elevator height","205.0"
3691707,"error","1153.0"
3691707,"elevator height","203.0"
3691808,"error","1151.0"
3691808,"elevator height","201.0"
3691906,"error","1150.0"
3691907,"elevator height","200.0"
3692007,"error","1142.0"
3692007,"elevator height","192.0"
3692107,"error","1128.0"
3692107,"elevator height","178.0"
3692207,"error","1117.0"
3692208,"elevator height","167.0"
3692307,"error","1104.0"
3692307,"elevator height","154.0"
3692409,"error","1088.0"
3692409,"elevator height","138.0"
3692509,"error","1065.0"
3692509,"elevator height","115.0"
3692608,"error","1043.0"
3692609,"elevator height","93.0"
3692709,"error","1023.0"
3692709,"elevator height","73.0"
3692809,"error","1004.0"
3692810,"elevator height","54.0"
3692909,"error","988.0"
3692910,"elevator height","38.0"
3693010,"error","965.0"
3693010,"elevator height","15.0"
3693110,"error","944.0"
3693110,"elevator height","-6.0"
3693211,"error","922.0"
3693211,"elevator height","-28.0"
3693311,"error","900.0"
3693312,"elevator height","-50.0"
3693414,"error","867.0"
3693414,"elevator height","-83.0"
3693511,"error","839.0"
3693511,"elevator height","-112.0"
3693612,"error","809.0"
3693612,"elevator height","-141.0"
3693712,"error","780.0"
3693712,"elevator height","-170.0"
3693813,"error","751.0"
3693813,"elevator height","-199.0"
3693913,"error","723.0"
3693913,"elevator height","-227.0"
3694013,"error","694.0"
3694013,"elevator height","-256.0"
3694114,"error","668.0"
3694114,"elevator height","-282.0"
3694213,"error","648.0"
3694214,"elevator height","-302.0"
3694314,"error","645.0"
3694314,"elevator height","-305.0"
3695815,"error","646.0"
3695815,"elevator height","-304.0"
3825900,"elevator height","-304.0"
3825900,"error","646.0"
3825901,"is terminated","true"
3825901,"mode","periodic"
3825901,"PID output","-0.09724999964237213"
3840617,"mode","init"
3841118,"error","967.0"
3841118,"elevator height","17.0"
3841118,"mode","periodic"
3841218,"error","968.0"
3841218,"elevator height","18.0"
3847829,"error","969.0"
3847829,"elevator height","19.0"
3848031,"error","971.0"
3848031,"elevator height","21.0"
3848130,"error","975.0"
3848130,"elevator height","25.0"
3848230,"error","981.0"
3848230,"elevator height","31.0"
3848330,"error","989.0"
3848330,"elevator height","39.0"
3848431,"error","996.0"
3848431,"elevator height","46.0"
3848531,"error","1003.0"
3848531,"elevator height","53.0"
3848631,"error","1008.0"
3848631,"elevator height","58.0"
3848731,"elevator height","60.0"
3848731,"error","1010.0"
3848834,"error","1014.0"
3848834,"elevator height","64.0"
3848932,"error","1019.0"
3848932,"elevator height","69.0"
3849032,"error","1025.0"
3849032,"elevator height","75.0"
3849133,"error","1028.0"
3849133,"elevator height","78.0"
3849233,"error","1032.0"
3849233,"elevator height","82.0"
3849333,"error","1034.0"
3849333,"elevator height","84.0"
3849434,"error","1036.0"
3849434,"elevator height","86.0"
3849534,"error","1041.0"
3849534,"elevator height","91.0"
3849634,"error","1048.0"
3849634,"elevator height","98.0"
3849734,"error","1054.0"
3849734,"elevator height","104.0"
3849835,"error","1062.0"
3849835,"elevator height","112.0"
3849935,"error","1070.0"
3849935,"elevator height","120.0"
3850036,"error","1081.0"
3850036,"elevator height","131.0"
3850136,"error","1089.0"
3850136,"elevator height","139.0"
3850236,"error","1097.0"
3850236,"elevator height","148.0"
3850337,"error","1105.0"
3850337,"elevator height","155.0"
3850437,"error","1113.0"
3850437,"elevator height","163.0"
3850537,"error","1116.0"
3850538,"elevator height","166.0"
3853040,"error","1115.0"
3853040,"elevator height","165.0"
3853140,"error","1113.0"
3853141,"elevator height","163.0"
3853240,"error","1110.0"
3853240,"elevator height","160.0"
3853341,"error","1107.0"
3853341,"elevator height","157.0"
3853440,"error","1094.0"
3853440,"elevator height","144.0"
3853541,"error","1076.0"
3853541,"elevator height","126.0"
3853641,"error","1052.0"
3853641,"elevator height","102.0"
3853740,"error","1029.0"
3853740,"elevator height","79.0"
3853842,"error","1004.0"
3853842,"elevator height","54.0"
3853942,"error","977.0"
3853943,"elevator height","27.0"
3854044,"error","950.0"
3854044,"elevator height","0.0"
3854142,"error","922.0"
3854142,"elevator height","-28.0"
3854244,"error","894.0"
3854244,"elevator height","-56.0"
3854344,"error","861.0"
3854344,"elevator height","-89.0"
3854444,"error","826.0"
3854445,"elevator height","-124.0"
